screen_id,node_id,label,annotator_id,notes
20353,,,,OVERLAP SCREEN — annotate all nodes independently
21089,,,,OVERLAP SCREEN — annotate all nodes independently
23456,,,,OVERLAP SCREEN — annotate all nodes independently
25871,,,,OVERLAP SCREEN — annotate all nodes independently
30124,,,,OVERLAP SCREEN — annotate all nodes independently
33567,,,,OVERLAP SCREEN — annotate all nodes independently
40892,,,,OVERLAP SCREEN — annotate all nodes independently
45231,,,,OVERLAP SCREEN — annotate all nodes independently
51678,,,,OVERLAP SCREEN — annotate all nodes independently
58903,,,,OVERLAP SCREEN — annotate all nodes independently
61234,,,,
62891,,,,
64523,,,,
67012,,,,
70345,,,,
72689,,,,
74021,,,,
76543,,,,
78901,,,,
80234,,,,
82567,,,,
84090,,,,
85432,,,,
86789,,,,
87654,,,,
88321,,,,
89012,,,,
89543,,,,
90124,,,,
90678,,,,
