screen_id,node_id,label,annotator_id,notes
20353,,,,OVERLAP SCREEN — annotate all nodes independently
21089,,,,OVERLAP SCREEN — annotate all nodes independently
23456,,,,OVERLAP SCREEN — annotate all nodes independently
25871,,,,OVERLAP SCREEN — annotate all nodes independently
30124,,,,OVERLAP SCREEN — annotate all nodes independently
33567,,,,OVERLAP SCREEN — annotate all nodes independently
40892,,,,OVERLAP SCREEN — annotate all nodes independently
45231,,,,OVERLAP SCREEN — annotate all nodes independently
51678,,,,OVERLAP SCREEN — annotate all nodes independently
58903,,,,OVERLAP SCREEN — annotate all nodes independently
11023,,,,
12456,,,,
13789,,,,
14321,,,,
15678,,,,
16543,,,,
17890,,,,
18234,,,,
19012,,,,
19567,,,,
22345,,,,
24678,,,,
26901,,,,
28234,,,,
29567,,,,
31890,,,,
34123,,,,
36456,,,,
38789,,,,
41023,,,,
