name,model_type,num_layers,hidden_dim,dropout,lr,weight_decay,include_sibling_edges,feature_groups,best_val_macro_f1,best_epoch,total_epochs,checkpoint_path,config_path
hparam_mlp_l3_h128_d0p1_lr0p001_wd0p0001_all_edges,mlp,3,128,0.1,0.001,0.0001,True,visual+structural+type+text,0.6608073237394928,3,18,results/checkpoints/hparam/hparam_mlp_l3_h128_d0p1_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h128_d0p1_lr0p001_wd0p0001_all_edges.json
hparam_mlp_l3_h128_d0p3_lr0p001_wd0p0001_all_edges,mlp,3,128,0.3,0.001,0.0001,True,visual+structural+type+text,0.6634343359534113,16,31,results/checkpoints/hparam/hparam_mlp_l3_h128_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h128_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_mlp_l3_h128_d0p5_lr0p001_wd0p0001_all_edges,mlp,3,128,0.5,0.001,0.0001,True,visual+structural+type+text,0.6552950336793434,4,19,results/checkpoints/hparam/hparam_mlp_l3_h128_d0p5_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h128_d0p5_lr0p001_wd0p0001_all_edges.json
hparam_mlp_l3_h256_d0p1_lr0p001_wd0p0001_all_edges,mlp,3,256,0.1,0.001,0.0001,True,visual+structural+type+text,0.6645848262519286,22,37,results/checkpoints/hparam/hparam_mlp_l3_h256_d0p1_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h256_d0p1_lr0p001_wd0p0001_all_edges.json
hparam_mlp_l3_h256_d0p3_lr0p001_wd0p0001_all_edges,mlp,3,256,0.3,0.001,0.0001,True,visual+structural+type+text,0.6582085265287789,3,18,results/checkpoints/hparam/hparam_mlp_l3_h256_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h256_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_mlp_l3_h256_d0p5_lr0p001_wd0p0001_all_edges,mlp,3,256,0.5,0.001,0.0001,True,visual+structural+type+text,0.6535894102751714,5,20,results/checkpoints/hparam/hparam_mlp_l3_h256_d0p5_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_mlp_l3_h256_d0p5_lr0p001_wd0p0001_all_edges.json
hparam_gcn_l1_h256_d0p3_lr0p001_wd0p0001_all_edges,gcn,1,256,0.3,0.001,0.0001,True,visual+structural+type+text,0.5778532448501069,14,29,results/checkpoints/hparam/hparam_gcn_l1_h256_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_gcn_l1_h256_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_gcn_l2_h256_d0p3_lr0p001_wd0p0001_all_edges,gcn,2,256,0.3,0.001,0.0001,True,visual+structural+type+text,0.5718165649311256,13,28,results/checkpoints/hparam/hparam_gcn_l2_h256_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_gcn_l2_h256_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_gcn_l3_h256_d0p3_lr0p001_wd0p0001_all_edges,gcn,3,256,0.3,0.001,0.0001,True,visual+structural+type+text,0.5757089408343289,22,37,results/checkpoints/hparam/hparam_gcn_l3_h256_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_gcn_l3_h256_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_gcn_l2_h128_d0p3_lr0p001_wd0p0001_all_edges,gcn,2,128,0.3,0.001,0.0001,True,visual+structural+type+text,0.5700799294688356,26,41,results/checkpoints/hparam/hparam_gcn_l2_h128_d0p3_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_gcn_l2_h128_d0p3_lr0p001_wd0p0001_all_edges.json
hparam_gcn_l2_h256_d0p1_lr0p001_wd0p0001_all_edges,gcn,2,256,0.1,0.001,0.0001,True,visual+structural+type+text,0.5782701721646769,11,26,results/checkpoints/hparam/hparam_gcn_l2_h256_d0p1_lr0p001_wd0p0001_all_edges/best_model.pt,experiments/generated_configs/hparam/hparam_gcn_l2_h256_d0p1_lr0p001_wd0p0001_all_edges.json
